GEOID,Population2012,MedianAge2012,MHI2012,MedianRent2012,MedianValue2012,PercEduAttain2012,PercPoverty2012,PercWhite2012,PercBlack2012,Population2019,MedianAge2019,MHI2019,MedianRent2019,MedianValue2019,PercEduAttain2019,PercPoverty2019,PercWhite2019,PercBlack2019,MHI_rel_growth,MedianValue_rel_growth,MedianRent_rel_growth,PercEduAttain_rel_growth,eligible,gentrified
11001000100,5040,39.4,134712,1831,1000001,89.5,5.9,89.8,1,4888,45.1,192727,2259,1187100,97,6.4,0,0,0.2848752798562859,0.06613344386655617,0.10803271436373563,0.08379888268156432,0,0
11001000201,4074,19.5,NA,NA,NA,49.4,100,78.5,9,3922,19.8,NA,NA,NA,100,18.1,0.2,0.2,NA,NA,NA,1.0242914979757085,0,0
11001000202,4976,27.1,141603,2001,1000001,91.3,20.7,92.2,3.6,4709,27,205326,2732,1198900,99.5,19,1.1,0.1,0.3022554649265905,0.0767310132689869,0.22619150424787593,0.08981380065717426,0,0
11001000300,5399,32.4,105500,1731,732800,82.9,9.8,90.6,2.5,6585,31.2,147431,2070,940000,99.3,18.5,0.6,0,0.2550500578199051,0.1520387554585152,0.07398440207972268,0.1978287092882991,0,0
11001000400,1514,43.9,195938,2001,1000001,82.3,7,89.2,5.8,1413,43.1,140536,2198,1146700,92.9,10.4,0.5,0,-0.35584020659596394,0.029850240149759788,-0.013481359320339892,0.1287970838396113,0,0
11001000501,3231,30,80900,1694,632400,86.4,9.1,86.6,4.8,3434,35.3,125972,2171,717000,98.6,4.4,0,0.1,0.39846048454882577,0.018244307400379522,0.15098884297520665,0.1412037037037035,0,0
11001000502,3076,39.3,108182,1540,1000000,85.3,4.6,86.9,5.1,3396,39.3,150104,1893,1178400,99.3,4.3,0.6,0,0.2461259950823611,0.058321040000000046,0.10396318181818187,0.164126611957796,0,0
11001000600,4472,47,120045,1446,965300,81.9,8,83.5,8.7,4966,45.8,150804,1854,830800,94.5,5.9,0,0,0.1282191878045733,-0.22703669325598264,0.15150580912863076,0.15384615384615374,0,0
11001000701,4478,44.3,82379,1411,391800,83.4,2.7,85.9,14.3,5786,47.1,103162,1744,589300,99.1,11.5,0.1,0,0.1246773109651731,0.3508175855028075,0.11005414599574759,0.18824940047961625,0,0
11001000702,3184,30.7,64113,1428,294400,81.8,11,86.2,5.3,2972,34.7,68961,1699,284300,94.5,13.2,0.9,0.5,-0.033988830658368774,-0.13271117527173903,0.06853774509803934,0.15525672371638155,0,0
11001000801,7064,42,120313,1906,791500,85.1,12,86.5,5.2,6195,42.7,160282,2196,873000,99.5,12.9,1.4,0.2,0.1964564444407504,-0.009423499684144021,0.03474690451206719,0.16921269095182145,0,0
11001000802,2552,40.7,115230,1427,767700,86.6,9.6,91.3,8.8,3470,35.8,138295,1875,1037000,98.1,7.2,1.5,0.3,0.07786808556799452,0.2131427641005601,0.1800543097407148,0.13279445727482675,0,0
11001000901,7495,20.2,221771,1579,1000001,89.5,10.8,88,8,7270,20.4,250001,1742,1555800,98,2.7,1,0.1,0.012422264858795717,0.3972625827374172,-0.009189233692210252,0.0949720670391061,0,0
11001000902,2302,42.6,184583,2001,933100,84,3.3,93.2,2.1,2416,45,215875,2583,1159700,97.6,2.4,1.7,0,0.050353160908642725,0.11620037509377346,0.159316491754123,0.16190476190476177,0,0
11001001001,7996,38.2,161450,1737,842500,87.6,4.8,91.7,4,7213,44,185583,1438,1001200,99.1,2.9,0.2,0,0.03234495075874877,0.06727325816023733,-0.25649522164651695,0.1312785388127855,0,0
11001001002,3144,32.5,91455,1671,442300,77.5,19.2,84.4,6.1,3428,30.2,113385,1950,415800,95,15.9,1.3,0,0.11345545350172204,-0.15570884015374187,0.04805206463195688,0.22580645161290325,0,0
11001001100,4272,47.5,121250,1677,845600,84.1,5.4,85.7,6.9,4823,43.9,151250,1706,1058000,99.3,3.8,0,0,0.12031030927835062,0.12368708609271528,-0.08636935002981516,0.18073721759809747,0,0
11001001200,5164,36.9,108125,1592,764000,85.1,6.6,83,6.6,5362,38.9,130844,1795,873300,98.3,4.9,1.7,0,0.08680690312138739,0.02658472513088994,0.012619032663316654,0.1551116333725029,0,0
11001001301,4199,33.9,83594,1823,1000001,92.2,10.9,77.9,8.2,4334,34.7,118309,1962,1282000,99,7.6,2.2,0,0.27106386702394913,0.15136304863695127,-0.03342172243554575,0.07375271149674623,0,0
11001001302,7635,35.2,84758,1563,428200,86,7.4,87.8,5.3,7166,38,93342,1962,524100,97.9,12,0.3,0.4,-0.010943507397531693,0.0992391639420831,0.12736545105566233,0.13837209302325593,0,0
11001001401,3469,39,124500,1483,913700,88.1,8,85.5,7.2,3659,40.1,143056,1693,1106700,97.1,5.6,1,0,0.03195657510040162,0.0878048265294955,0.02527532029669599,0.10215664018161186,0,0
11001001402,2974,45,94444,991,785500,76.6,9.2,76.2,19.6,3370,43.8,116435,1469,872800,96.2,6.4,1.8,0.3,0.10721987103468722,-0.0020857033736473296,0.33129051463168513,0.255874673629243,0,0
11001001500,6066,46.7,193233,2001,862400,84.6,2.9,83.1,14.3,6094,44.8,214561,3501,1004500,98.5,2.9,0.8,0,-0.002772641836539247,0.046082386363636374,0.5713383808095953,0.16430260047281342,0,0
11001001600,4287,49.5,130786,1092,698800,73.1,3.6,24.2,71.3,4959,44.7,175662,2231,859300,94.4,4.3,2.2,0,0.20626093159818337,0.10437511448196912,0.8348544871794872,0.29138166894664863,0,0
11001001702,2767,38,98981,1725,416300,55.7,14,37.3,56.8,3482,39.4,112179,1811,466100,95.3,4.5,0.3,0,0.01785150584455608,0.005535455200576633,-0.05712515942028984,0.7109515260323158,0,0
11001001803,3316,39.1,42206,1013,502500,35.7,9.7,9.5,71.7,4231,35.6,52802,1285,572400,74.3,23.6,0,0.2,0.1235719139458844,0.023029731343283677,0.1392482724580455,1.0812324929971986,0,0
11001001804,5220,35.2,38597,974,454300,21.6,27.7,24.3,59,5894,37.7,42195,1142,601700,79.1,21.8,0,0,-0.01817940513511418,0.1894932203389832,0.05300841889117058,2.6620370370370363,0,0
11001001901,3832,43.2,64279,975,383000,36.5,6.8,10.3,88,4183,37.9,98523,968,536300,94.9,11.6,1,0.2,0.3765538714043468,0.2575744908616189,-0.10834789743589734,1.6,0,0
11001001902,2194,42.8,66976,1107,408100,41.7,8.7,12.3,81.7,2544,45.3,90893,1127,584200,90.6,5.1,2.2,0.6,0.21880977215719066,0.28564082332761576,-0.08567416440831066,1.172661870503597,0,0
11001002001,2427,41.6,47862,1046,706300,43.5,6.2,30.3,50.3,3490,35.3,64577,1230,840900,77.9,13.2,0.8,0,0.2117463478333541,0.06925143706640235,0.05608317399617602,0.7908045977011495,0,0
11001002002,3688,44.2,57821,1028,534200,43.2,12.2,28.4,57.1,4781,34.6,147616,1456,679300,82.1,6.1,1.3,0,1.2928335656595356,0.14204292399850238,0.2720171206225681,0.9004629629629628,0,0
11001002101,5562,36.3,55705,982,316400,22.3,18.1,14,65.8,5531,37.2,67984,1142,535600,82.1,7.2,0.6,0,0.09606732609281021,0.5202982300884955,0.044429938900203636,2.6816143497757845,0,0
