YEAR,GEOID,Population,MedianAge,MHI,MedianRent,MedianValue,PercEduAttain,PercPoverty,PercWhite,PercBlack
2010,11001000100,4784,42,109947,1485,1000001,89.1,7,88.3,2.5
2010,11001000201,4227,19.4,NA,NA,NA,57.1,NA,85,5.8
2010,11001000202,4553,27.8,120114,2001,1000001,92,14.4,94.3,2.7
2010,11001000300,5664,30.3,101250,1767,799200,83.9,12,87.6,2.2
2010,11001000400,1296,40.7,158580,1528,1000001,89.3,4.9,95,1.3
2010,11001000501,3388,30.5,87415,1648,663500,89.6,14.3,89.4,3.2
2010,11001000502,3241,39.5,95694,1319,924000,81.2,7.2,82.4,4.6
2010,11001000600,4777,48.2,115648,1452,1000001,78.1,5.3,83.9,8.5
2010,11001000701,4585,49.3,79649,1277,393100,85.7,1.5,86.8,10.3
2010,11001000702,3106,30.3,63794,1298,326500,81,8.6,79.4,7
2010,11001000801,6286,43.1,114732,1775,708800,81.9,7,88.8,2.6
2010,11001000802,2595,41.1,92000,1237,771600,87.7,8.1,92.9,6.2
2010,11001000901,7789,19.8,213889,1591,1000001,88.6,4.9,89.2,3.8
2010,11001000902,2228,41.6,163750,2000,904200,82.5,5.7,94.4,1
2010,11001001001,8039,36.4,142697,1615,836900,84.6,7.7,88.9,4.7
2010,11001001002,3343,32.8,85543,1481,453100,73.8,15.9,71.3,12.5
2010,11001001100,4247,42,141607,1643,784400,85.3,7.4,89.1,3.9
2010,11001001200,5002,35,93785,1559,728000,85,9.7,84.9,3.3
2010,11001001301,4410,37,88981,1714,1000001,88.7,10.1,76.6,12.4
2010,11001001302,7012,34.4,78961,1560,422100,87.8,6.4,88.1,5
2010,11001001401,3149,39.6,109609,1406,922000,88.5,6.2,87,8.1
2010,11001001402,2958,46.7,100750,891,720600,71.2,6.8,72.4,22.9
2010,11001001500,5692,46.4,179125,2001,851100,82.3,3,83.3,14.5
2010,11001001600,4448,47.4,133824,942,716800,74.6,3.9,20.4,73.2
2010,11001001702,2465,38.3,91989,1377,419800,47,9.9,28.2,66.1
2010,11001001803,2965,44,35350,883,451600,32.3,14.3,11.6,76.6
2010,11001001804,4809,37.1,40281,876,462300,23.8,26.5,18.9,61.1
2010,11001001901,4197,42.6,48073,822,400300,38.1,10.6,8.6,83.4
2010,11001001902,2121,46.5,72273,985,423400,38,7.8,15.3,82.2
2010,11001002001,2668,39.4,43478,1005,654900,41.4,7,36.6,54
2010,11001002002,3604,43.9,53373,861,614400,39.1,11.5,26.5,61.3
2010,11001002101,4735,36.2,41886,916,347700,14.5,17,13.3,66.9
2010,11001002102,4331,39.2,42522,938,384700,30.1,12.2,4.4,75.1
2010,11001002201,3510,36.1,70541,1183,415400,28.6,3.5,12.5,76.6
2010,11001002202,2930,41.1,42283,810,340900,28.3,10.8,11,83.5
2010,11001002301,2998,40.7,61500,932,385000,30,12.3,12.1,78.6
2010,11001002302,1945,55.8,43342,1651,336500,33.1,30.9,33.3,67
2010,11001002400,3771,39.6,60082,958,410000,34,12.7,23.3,79.3
2010,11001002501,2295,41.4,48750,652,588800,36.4,28.4,17,73.1
2010,11001002502,4872,34.6,42199,901,466000,30.8,11,30,44.2
2010,11001002600,2276,48.6,144141,1226,874200,68.8,6,51.4,40.5
2010,11001002701,5414,32.2,58617,1085,563600,64,12.5,62.9,21.7
2010,11001002702,5103,34,95490,1210,768200,68.1,7.6,73.1,17
2010,11001002801,3867,30.3,43661,894,477900,34.8,20.9,35.1,42.8
2010,11001002802,3999,31,41453,887,360600,32.1,21.6,49.4,33.5
2010,11001002900,3885,30.8,56000,873,506200,36.6,18,44,35.9
2010,11001003000,3029,30.8,52228,1408,632400,57.6,23.1,43.9,49.8
2010,11001003100,2878,31.3,69063,1047,404100,33.3,7.8,42.1,40.5
2010,11001003200,4473,34.1,50665,732,379200,30.1,20.5,28.2,62.5
2010,11001003301,2827,36.3,83285,1189,563300,55.8,22.4,26.3,71.9
2010,11001003302,2198,33.6,80039,1331,514500,60,18.9,23.7,64.2
2010,11001003400,4832,20.3,30603,891,408400,48.5,34,12.4,81.1
2010,11001003500,2518,29.1,41136,743,405800,24,31.9,15.8,70.4
2010,11001003600,4273,34.9,46034,993,530800,35.4,19.5,38.1,51.2
2010,11001003700,5119,27.7,52292,952,419900,49.3,26.2,35,56.5
2010,11001003800,4074,35.1,76121,1288,605700,74.6,5.9,63.4,23.1
2010,11001003900,4476,34.8,72466,1278,377300,76.5,5.1,70.5,18.2
2010,11001004001,3250,37.8,100439,1525,564700,94.7,3.7,93.5,1.3
2010,11001004002,2319,33.8,85368,1407,577400,83.7,5.5,83.5,8.5
2010,11001004100,2708,42.7,97500,1354,1000001,84.1,4.2,87.1,3.7
2010,11001004201,3536,31.3,86406,1442,464100,78.5,19.6,72.8,12.2
2010,11001004202,2354,33.5,83588,1525,575800,89.9,4.8,84.7,2.3
2010,11001004300,2864,35.6,51016,1115,712100,63.2,19.3,66.1,29
2010,11001004400,4478,33.2,98030,1912,623800,74.2,12.3,63.4,30.1
2010,11001004600,2383,35.6,76623,1000,472400,40.8,19.1,23,72.9
2010,11001004701,3841,23.8,15119,452,473400,22.8,49,6,88.2
2010,11001004702,1616,36.9,43476,898,432100,48.3,33.1,30,58.9
2010,11001004801,1760,39.3,76618,910,551600,49.4,14.4,37.2,55.6
2010,11001004802,3061,34.3,42244,787,508600,34.8,13.7,22.5,60.6
2010,11001004901,1948,33,52375,671,799300,48.1,24.3,43.9,56.1
2010,11001004902,2625,29.9,78482,1251,590200,61.1,17.3,61.6,32.1
2010,11001005001,1576,37.5,119643,1508,649200,68.3,10.3,63.1,31
2010,11001005002,5820,34.4,73173,1087,475000,56.7,11.8,66,20.8
2010,11001005201,5203,34.5,64811,1416,487700,82.8,11.9,70.5,14.8
2010,11001005301,5981,35.6,91638,1482,440300,74.9,16.7,75.8,16.6
2010,11001005500,6065,34.8,88831,1787,562700,86.1,12.8,76.6,8.5
2010,11001005600,5043,31,61806,1403,386100,80,26.2,70,7.7
2010,11001005800,2675,32.8,119167,2001,476000,83.2,5.6,66.9,6.8
2010,11001005900,3956,35.3,66790,1860,471600,46.7,44.4,48.6,39.8
2010,11001006202,0,NA,NA,NA,NA,NA,NA,NA,NA
2010,11001006400,1925,37.8,21191,351,367800,22.7,31.1,3.1,89.1
2010,11001006500,2550,33.3,113542,1414,726400,89.7,1.3,95.3,3.1
2010,11001006600,1860,34.3,94878,1367,791700,90.1,8.7,92,0
2010,11001006700,4032,37.7,141004,1398,765800,81.4,4.6,78,15.4
2010,11001006801,1836,34.2,77955,973,453700,49.7,17.9,30.3,70
2010,11001006802,2128,37.3,86719,1349,474700,51.8,2.7,35.1,63.9
2010,11001006804,2496,34.1,NA,NA,NA,2.3,91.2,4.7,92
2010,11001006900,2227,34.4,115299,1455,590700,67.4,9.1,57.7,35
2010,11001007000,2248,33.8,92656,1651,555500,87,10.7,84.5,11.3
2010,11001007100,3344,29.8,29493,373,461500,38.9,45.4,26.3,71.4
2010,11001007200,1201,34.7,47885,1225,360800,55.3,11.7,36.4,58.2
2010,11001007301,2664,24.9,64821,2001,NA,39.9,1.4,67.9,24.4
2010,11001007304,3562,29.4,31856,495,278300,13.6,38.2,0.8,99.4
2010,11001007401,2242,23.6,19238,384,246400,10.3,57.3,5.6,94.4
2010,11001007403,2768,27.7,27333,855,229800,2.9,35.7,0.5,99.5
2010,11001007404,3322,19,26250,1056,292000,17.8,48.8,1.1,98.9
2010,11001007406,3173,21.5,27838,879,322100,8.7,47.2,0,100
